kind,step,total_steps,stage,span,train_loss,lr,cpu_batch_ms,prefetch_q,elapsed_s,val_loss,val_ppl
progress,1,9153,stage1,1,9.7767,0.0001,6.2,9152,2.6,,
progress,25,9153,stage1,1,8.4434,0.000119238,6.2,9128,27.6,,
progress,50,9153,stage1,1,7.7509,0.000139279,6.2,9103,54.0,,
progress,75,9153,stage1,1,7.5897,0.000159319,6.2,9078,82.0,,
progress,100,9153,stage1,1,7.5619,0.000179359,6.2,9053,108.9,,
progress,125,9153,stage1,1,7.531,0.000199399,6.2,9028,136.0,,
progress,150,9153,stage1,1,7.4801,0.000219439,6.2,9003,164.0,,
progress,175,9153,stage1,1,7.2444,0.000239479,6.2,8978,191.2,,
progress,200,9153,stage1,1,6.8942,0.000259519,6.2,8953,218.4,,
progress,500,9153,stage1,1,5.4767,0.0005,6.2,8653,549.8,,
eval,500,,,,5.4767,,,,,5.6941,297.12
progress,1000,9153,stage2,1,5.049,0.0005,6.2,8153,1102.8,,
eval,1000,,,,5.049,,,,,5.2514,190.83
progress,1500,9153,stage2,1,4.7975,0.0005,6.2,7653,1658.8,,
eval,1500,,,,4.7975,,,,,5.0433,154.97
eval,4000,,,,4.3926,,,,,4.7356,113.93
eval,5000,,,,4.3394,,,,,4.7027,110.25
eval,6500,,,,4.2103,,,,,4.6513,104.72
